,title,image,link,date,time
20,تیکه انداختن پپ گواردیولا به سوال خبرنگار!,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_3360fdf9-bd94-4c99-866a-dd690c547f33.jpeg,https://akharinkhabar.ir//sport/9799369/تیکه-انداختن-پپ-گواردیولا-به-سوال-خبرنگار,1402-08-01,12:57:00
21,فوتبالیست که گناهی ندارد، مشکل از مسئولین است!,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_438c4d1d-d0b2-4d3c-862c-06b7aa65768b.jpeg,https://akharinkhabar.ir//sport/9799365/فوتبالیست-که-گناهی-ندارد-مشکل-از-مسئولین-است,1402-08-01,12:55:00
22,وحید علی‌ نجیمی در دو 100 متر پاراآسیایی نقره‌ای شد,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_9575ba63-f3a6-4d90-8cee-858d07251ef6.jpeg,https://akharinkhabar.ir//sport/9799364/وحید-علی‌-نجیمی-در-دو-۱۰۰-متر-پاراآسیایی-نقره‌ای-شد,1402-08-01,12:55:00
23,امان‌الله پاپی چهارمین طلایی کاروان «فرزندان ایران»,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_d8a61d78-e566-4c89-8078-be5463ea94b1.jpeg,https://akharinkhabar.ir//sport/9799363/امان‌الله-پاپی-چهارمین-طلایی-کاروان-فرزندان-ایران,1402-08-01,12:54:00
24,تقویم فدراسیون جهانی کاراته در سال ۲۰۲۴ اعلام شد,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_5ff60aef-e7e0-4f73-9651-22ba139d6e74.jpeg,https://akharinkhabar.ir//sport/9799354/تقویم-فدراسیون-جهانی-کاراته-در-سال-۲۰۲۴-اعلام-شد,1402-08-01,12:48:00
25,توضیح ستاره تیم ملی کشتی درباره استوری جنجالی,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_14e55e62-c811-4df5-a627-d23c3a77a88e.jpeg,https://akharinkhabar.ir//sport/9799351/توضیح-ستاره-تیم-ملی-کشتی-درباره-استوری-جنجالی,1402-08-01,12:47:00
26,تقدیر از ملی‌پوشان کشتی با حضور وزیر ورزش,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_f7232d5f-04e2-4eda-9bc1-08e10aa15ea7.jpeg,https://akharinkhabar.ir//sport/9799344/تقدیر-از-ملی‌پوشان-کشتی-با-حضور-وزیر-ورزش,1402-08-01,12:45:00
27,ویدیویی زیبا از سرعت و تکنیک کریستیانو رونالدو جوان!,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_12fe1cbc-3ce3-4cec-83b6-75a978d1cf1a.jpeg,https://akharinkhabar.ir//sport/9799327/ویدیویی-زیبا-از-سرعت-و-تکنیک-کریستیانو-رونالدو-جوان,1402-08-01,12:36:00
28,صحبت‌های امان‌الله پاپی بعد از کسب مدال طلا,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_a4ed60ac-a625-4766-b5aa-cafa5a027482.jpeg,https://akharinkhabar.ir//sport/9799324/صحبت‌های-امان‌الله-پاپی-بعد-از-کسب-مدال-طلا,1402-08-01,12:35:00
29,مراسم اهدای مدال نقره رضا حاتمی در بازی‌های پاراآسیایی,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_f343bf72-3a4b-467d-8e03-ae105daecd06.jpeg,https://akharinkhabar.ir//sport/9799321/مراسم-اهدای-مدال-نقره-رضا-حاتمی-در-بازی‌های-پاراآسیایی,1402-08-01,12:34:00
30,اعلام اسامی بازیکنان تیم ملی جوانان در 2 گروه,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_a099c81f-d25e-4013-9f8e-7a1ce42bbbcb.jpeg,https://akharinkhabar.ir//sport/9799309/اعلام-اسامی-بازیکنان-تیم-ملی-جوانان-در-۲-گروه,1402-08-01,12:31:00
31,کشتی‌گیرها کنعانی‌زادگان را رها نمی‌کنند,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_6b945828-9a5e-4a47-9f0d-1e148e71596c.jpeg,https://akharinkhabar.ir//sport/9799304/کشتی‌گیرها-کنعانی‌زادگان-را-رها-نمی‌کنند,1402-08-01,12:29:00
32,ستاره مس رفسنجان حافظه‌اش را از دست داد!,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_ae05cd59-7b74-4960-b4c8-42a3336201fe.jpeg,https://akharinkhabar.ir//sport/9799296/ستاره-مس-رفسنجان-حافظه‌اش-را-از-دست-داد,1402-08-01,12:26:00
33,قیمت نجومی پیراهن بارسلونا در ال‌کلاسیکو,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_cc5b744d-77ad-440d-bdbb-a8f9c5ea15ab.jpeg,https://akharinkhabar.ir//sport/9799292/قیمت-نجومی-پیراهن-بارسلونا-در-ال‌کلاسیکو,1402-08-01,12:23:00
34,اختلاف گل‌محمدی با پرسپولیس باید درون خانواده حل می‌شد,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_c0e13dfb-4849-43ce-961b-8f32622e6cbd.jpeg,https://akharinkhabar.ir//sport/9799288/اختلاف-گل‌محمدی-با-پرسپولیس-باید-درون-خانواده-حل-می‌شد,1402-08-01,12:20:00
35,خبر خوش برای گل‌گهر در بازگشت دوباره به لیگ برتر,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_bc254b8f-2a4e-4ebc-9ac3-51f46e52d0b4.jpeg,https://akharinkhabar.ir//sport/9799285/خبر-خوش-برای-گل‌گهر-در-بازگشت-دوباره-به-لیگ-برتر,1402-08-01,12:19:00
36,عذرخواهی منچسترسیتی از منچستریونایتد,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_bccaee0c-6d76-4095-938d-9d38cbd30346.jpeg,https://akharinkhabar.ir//sport/9799284/عذرخواهی-منچسترسیتی-از-منچستریونایتد,1402-08-01,12:18:00
37,جوانمردی در فوتبال,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_219afb2b-23a6-423b-93eb-23d088a16e5c.jpeg,https://akharinkhabar.ir//sport/9799272/جوانمردی-در-فوتبال,1402-08-01,12:11:00
38,ورود حسن یزدانی به مراسم تجلیل از قهرمانان ,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_2582347d-c336-4e6e-963d-d65abb466ea9.jpeg,https://akharinkhabar.ir//sport/9799268/ورود-حسن-یزدانی-به-مراسم-تجلیل-از-قهرمانان-,1402-08-01,12:09:00
39,صحبتهای پژمان درستکار در مراسم تجلیل از قهرمانان مسابقات جهانی صربستان,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_17d0b6da-c5c1-439f-97a7-52ac2387f8f3.jpeg,https://akharinkhabar.ir//sport/9799263/صحبتهای-پژمان-درستکار-در-مراسم-تجلیل-از-قهرمانان-مسابقات-جهانی-صربستان,1402-08-01,12:08:00
40,حاتمی: برای مدال طلا آمده بودم,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_23d11635-c47d-4cf2-8f55-8e8b5b347322.jpeg,https://akharinkhabar.ir//sport/9799260/حاتمی-برای-مدال-طلا-آمده-بودم,1402-08-01,12:07:00
41,بخشی از صحبتهای ابراهیم جوادی ,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_ebda2d7d-bd80-4a80-a62e-feeb7e60f7bf.jpeg,https://akharinkhabar.ir//sport/9799256/بخشی-از-صحبتهای-ابراهیم-جوادی-,1402-08-01,12:06:00
42,تکلیف دروازه‌بان رئال مشخص شد,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_6348721d-4e7a-40f7-99ff-1a5e911faca9.jpeg,https://akharinkhabar.ir//sport/9799255/تکلیف-دروازه‌بان-رئال-مشخص-شد,1402-08-01,12:05:00
43,فدراسیون کشتی به مدال‌آوران جهانی چقدر پاداش داد؟,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_bb95d190-4e4e-48b8-b697-4c70c7e7bcd9.jpeg,https://akharinkhabar.ir//sport/9799222/فدراسیون-کشتی-به-مدال‌آوران-جهانی-چقدر-پاداش-داد,1402-08-01,11:47:00
44,استقبال از استقلال با رقص کردی خراسانی,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_345d0c71-594e-4f13-9d04-02367a27a359.jpeg,https://akharinkhabar.ir//sport/9799220/استقبال-از-استقلال-با-رقص-کردی-خراسانی,1402-08-01,11:46:00
45,فرخی: کاراته ایران در دنیا شخصیت قهرمانی دارد,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_17b6569c-66fa-49cb-818f-87017e02b848.jpeg,https://akharinkhabar.ir//sport/9799219/فرخی-کاراته-ایران-در-دنیا-شخصیت-قهرمانی-دارد,1402-08-01,11:46:00
46,داور ال‌کلاسیکو مشخص شد,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_17298ff4-a9cc-4d13-9b2a-315a641a8390.jpeg,https://akharinkhabar.ir//sport/9799218/داور-ال‌کلاسیکو-مشخص-شد,1402-08-01,11:44:00
47,آخرین وضعیت پرونده دیدار جنجالی سپاهان و الاتحاد,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_856ce2d7-ac86-4c2b-a326-5e55ad8017bc.jpeg,https://akharinkhabar.ir//sport/9799216/آخرین-وضعیت-پرونده-دیدار-جنجالی-سپاهان-و-الاتحاد,1402-08-01,11:43:00
48,توزیع کفش ورزشی توسط یانیس ,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_6ea92970-23f5-42a9-9c32-6e7a21a60532.jpeg,https://akharinkhabar.ir//sport/9799215/توزیع-کفش-ورزشی-توسط-یانیس-,1402-08-01,11:42:00
